offset_hou,offset_sui,length,text,translation,note
0x1d984,0x21004,12,言祝し編 #12,言祝篇 #12,
0x1d9ac,0x2103e,12,言祝し編 #13,言祝篇 #13,
0x1d9d4,,12,言祝し編 END,言祝篇 END,
,0x21078,16,言祝し編 #14 END,言祝篇 END,
0x1da34,0x210b2,11,羞晒し編 #1,羞晒篇 #1,
0x1da5b,0x210ec,11,羞晒し編 #2,羞晒篇 #2,
0x1da82,0x21126,11,羞晒し編 #3,羞晒篇 #3,
0x1daa9,0x21160,11,羞晒し編 #4,羞晒篇 #4,
0x1dad0,0x2119a,11,羞晒し編 #5,羞晒篇 #5,
0x1daf7,0x211d4,11,羞晒し編 #6,羞晒篇 #6,
0x1db1e,0x2120e,11,羞晒し編 #7,羞晒篇 #7,
0x1db45,0x21248,11,羞晒し編 #8,羞晒篇 #8,
0x1db6c,0x21282,11,羞晒し編 #9,羞晒篇 #9,
0x1db93,0x212bc,12,羞晒し編 END,羞晒篇 END,
0x1dbbb,,25,ひぐらしアウトブレイク #1,寒蝉 Outbreak #1,
0x1dbf0,,25,ひぐらしアウトブレイク #2,寒蝉 Outbreak #2,
0x1dc25,,25,ひぐらしアウトブレイク #3,寒蝉 Outbreak #3,
0x1dc5a,,25,ひぐらしアウトブレイク #4,寒蝉 Outbreak #4,
0x1dc8f,,25,ひぐらしアウトブレイク #5,寒蝉 Outbreak #5,
0x1dcc4,,25,ひぐらしアウトブレイク #6,寒蝉 Outbreak #6,
0x1dcf9,,26,ひぐらしアウトブレイク END,寒蝉 Outbreak END,
0x1dd27,,37,ひぐらしアウトブレイク～神姦し編～ #1,寒蝉 Outbreak ～神奸篇～ #1,
0x1dd68,,37,ひぐらしアウトブレイク～神姦し編～ #2,寒蝉 Outbreak ～神奸篇～ #2,
0x1dda9,,37,ひぐらしアウトブレイク～神姦し編～ #3,寒蝉 Outbreak ～神奸篇～ #3,
0x1ddea,,37,ひぐらしアウトブレイク～神姦し編～ #4,寒蝉 Outbreak ～神奸篇～ #4,
0x1de2b,,37,ひぐらしアウトブレイク～神姦し編～ #5,寒蝉 Outbreak ～神奸篇～ #5,
0x1de6c,,37,ひぐらしアウトブレイク～神姦し編～ #6,寒蝉 Outbreak ～神奸篇～ #6,
0x1dead,,37,ひぐらしアウトブレイク～神姦し編～ #7,寒蝉 Outbreak ～神奸篇～ #7,
0x1deee,,38,ひぐらしアウトブレイク～神姦し編～ END,寒蝉 Outbreak ～神奸篇～ END,
0x1df28,,15,雛見沢停留所 #1,雏见泽停留所 #1,
0x1df53,,15,雛見沢停留所 #2,雏见泽停留所 #2,
0x1df7e,,15,雛見沢停留所 #3,雏见泽停留所 #3,
0x1dfa9,,15,雛見沢停留所 #4,雏见泽停留所 #4,
0x1dfd4,,15,雛見沢停留所 #5,雏见泽停留所 #5,
0x1dfff,,15,雛見沢停留所 #6,雏见泽停留所 #6,
0x1e02a,,15,雛見沢停留所 #7,雏见泽停留所 #7,
0x1e055,,15,雛見沢停留所 #8,雏见泽停留所 #8,
0x1e080,,15,雛見沢停留所 #9,雏见泽停留所 #9,
0x1e0ab,,16,雛見沢停留所 END,雏见泽停留所 END,
0x1e0cf,,11,罰恋し編 #1,罚恋篇 #1,
0x1e0f6,,11,罰恋し編 #2,罚恋篇 #2,
0x1e11d,,11,罰恋し編 #3,罚恋篇 #3,
0x1e144,,12,罰恋し編 END,罚恋篇 END,
0x1e164,,19,「奉」 お疲れさま会,「奉」 慰劳会,
